Title,Company,Location,SalaryType,MinSalary,MaxSalary,AvgSalary
"Director, Data Science, Measurement Products",Amazon.com Services LLC,"New York, NY",unknown,,,
Senior Software Engineer (C++ and QT),Decision Sciences International Corporation,"Poway, CA 92064",year,150000.0,150000.0,150000.0
"Staff Data Scientist, Financial Crimes Technology",Cash App,"Remote in San Francisco, CA 94103",unknown,,,
Data Scientist (Fintech Company),Softdev Integrations,"Las Vegas, NV 89101 (Downtown area)",year,50000.0,75000.0,62500.0
Data Scientist (Fintech Company),Softdev Integrations,"Las Vegas, NV 89101 (Downtown area)",year,50000.0,75000.0,62500.0
Business Intelligence (MicroStrategy) Developer,GTIConnect,Remote,year,92040.0,130831.0,111435.5
Epic Business Intelligence Developer,Medical University of South Carolina,South Carolina,unknown,,,
Business Analyst (PowerApps),OrangePeople,+1 locationRemote,hour,55.0,55.0,114400.0
Business Analyst,"MORTGAGEHIPPO, INC.",Remote,unknown,,,
"Data Science Learning, Associate Director",AstraZeneca,"Gaithersburg, MD 20878",unknown,,,
Senior Manager - Data Science,Bristol Myers Squibb,New Jersey,unknown,,,
Business Intelligence Developer III,Habitat for Humanity,Remote,unknown,,,
"Director, Data Engineering - Customer, Marketing, Digital & Service - GRM US",Liberty Mutual Insurance,Remote,year,172900.0,227500.0,200200.0
Machine Learning Engineer II,Imprivata,+1 locationRemote,unknown,,,
Data Scientist,Macquarie Group Limited,"Philadelphia, NY",year,108000.0,192500.0,150250.0
"Junior Researcher, Data Science",Paliwoda Group,"New York, NY",unknown,,,
Junior SQL Server Database Administrator,Telesis Corporation,"Hybrid remote in Washington, DC 20228",unknown,,,
Machine Learning Engineer,Phasorsoft LLC,Remote,year,86039.0,223990.0,155014.5
Database Administrator - Open to 100% Remote,Perrigo Company,"Remote in Allegan, MI 49010",unknown,,,
Oracle Database Administrator,CVS Health,Texas,year,60300.0,126600.0,93450.0
Data Engineer,TheHive,"Hybrid remote in Richville, MN 56576+2 locations",hour,20.0,50.0,72800.0
Business Analyst,Hanker System's,"Hybrid remote in Salem, OR 97301+2 locations",hour,45.0,65.0,114400.0
Business Intelligence Developer,Plano ISD,"Remote in Plano, TX 75075",year,76051.0,76051.0,76051.0
Software Engineer - Machine Learning (Remote),Home Depot / THD,"Remote in Atlanta, GA 30301+2 locations",year,130000.0,130000.0,130000.0
Data Scientist - Payment Optimization,CVS Health,"New York, NY",year,60000.0,128700.0,94350.0
Data Scientist,Caris Life Sciences,"Irving, TX 75062 (McArthur area)",year,110000.0,125000.0,117500.0
Business Analyst I (Contingent),Amazon,"Seattle, WA+25 locations",unknown,,,
Database Administrator/Developer,Strategic Employment,Remote,year,150000.0,175000.0,162500.0
Senior Data Engineer,"Cirkul, Inc.","Watertown, MA 02472",unknown,,,
Director of Data Systems and Analytics,Acacia Center for Justice,Remote,year,146000.0,146000.0,146000.0
Business Intelligence Developer,Robert Half,"Memphis, TN 38120 (River Oaks-Kirby-Balmoral area)+5 locations",year,90000.0,110000.0,100000.0
Azure Data Engineer,Prahartech,"Seattle, WA 98101 (Downtown area)",hour,69.0,73.0,147680.0
Data Scientist Co-Op (Spring 2023),HERSHEY MX,"Remote in Hershey, PA",unknown,,,
"Senior Manager, Data Science Strategy (Remote)",The Home Depot,"Remote in Atlanta, GA 30361+10 locations",year,140000.0,280000.0,210000.0
Data Scientist / Computational Medical Editing /Machine Learning,Boston Children's Hospital,"Boston, MA 02115 (Mission Hill area)",unknown,,,
Junior Business Analyst - Remote,Proxibid,"Remote in Omaha, NE 68127",unknown,,,
Lead Data Scientist - Testing & Measurement (Full-Time Remote OR Hybrid),Target,"Remote in Minneapolis, MN 55403",year,118200.0,212800.0,165500.0
Sr. Data Science Manager,Honeywell,"Atlanta, GA 30308 (Midtown area)",unknown,,,
Data Engineer,RIOS Intelligent Machines,"Menlo Park, CA 94025",unknown,,,
Business Analyst,ABAL Technologies Inc.,Remote,hour,30.0,40.0,72800.0
Senior Data Scientist - Financial Markets,MTG Services,"Remote in New York, NY",year,110000.0,130000.0,120000.0
Applied Machine Learning Engineer,ClientSolv Technologies,"Remote in Chicago, IL+5 locations",year,130000.0,150000.0,140000.0
Data Engineer,DocGo,"New York, NY 10001 (Garment District area)",year,140000.0,150000.0,145000.0
"Senior Software Engineer, Machine Learning",hims & hers,"Remote in San Francisco, CA",unknown,,,
Data Engineer,Seven Hills Group Technologies Inc,"Phoenix, AZ+1 location",hour,42.0,70.0,116480.0
Director of Engineering – AI/ML Technology Foundation,Nike,"Beaverton, OR",unknown,,,
"Director of Engineering, Data Science",Chartboost,"Remote in San Francisco, CA",unknown,,,
Data and Technology Leader – IBM Watson Advertising,IBM,"Remote in Atlanta, GA",unknown,,,
Machine Learning(ML) Engineer,Production Modeling Corporation,+1 locationRemote,year,100000.0,110000.0,105000.0
Sr. Business Information Analyst - Remote,Navitus Health Solutions LLC,"Remote in Austin, TX 78759+6 locations",unknown,,,
Machine Learning Engineer - 1,Haptik,+1 locationRemote,unknown,,,
Data Science Manager,Southern Company,"Birmingham, AL 35298",unknown,,,
"Engineering Manager, Data Engineering",Atlassian,"San Francisco, CA",unknown,,,
Data Scientist,COMTEC INFORMATION SYSTEMS,Remote,hour,60.0,62.0,126880.0
Senior Product Manager - Data Foundations,Iterative Health,"Remote in Cambridge, MA",unknown,,,
Database Administrator,Lane Education Service District,"Eugene, OR 97402 (Bethel area)",unknown,,,
Staff Machine Learning Engineer,Procore Technologies,Remote in Oregon,unknown,,,
Business Analyst,isolved,Remote,unknown,,,
"Database Administrator, CAS Administrative Operations",University at Buffalo,"Buffalo, NY 14260",unknown,,,
Data Science & Advanced Analytics Manager,IQVIA,+1 locationRemote,unknown,,,
Data Engineer,Preludesys,"Remote in Austin, TX 78748+1 location",unknown,,,
Head of Computational Biology – Data Science,"Monte Rosa Therapeutics, Inc","Boston, MA 02210 (South Boston area)",unknown,,,
Data Science Manager,Two Sigma Insurance Quantified,"Hybrid remote in New York, NY",unknown,,,
Business Analyst,"RLA Engineering, LLC",Remote,hour,54.0,56.0,114400.0
"Manager, Data Science - Remote",XPO Logistics,"Remote in Dallas, TX",unknown,,,
Business Intelligence Developer,Gallagher,"Rolling Meadows, IL 60008",unknown,,,
Data Science Director - Marketing,OppFi,"Remote in Chicago, IL",year,150000.0,150000.0,150000.0
Applied Machine Learning Engineer,Snorkel AI,"Redwood City, CA",unknown,,,
PostgreSQL Database Engineer,Leidos,"Windsor Mill, MD 21244 (Howard Park area)+3 locations",year,74750.0,155250.0,115000.0
Product Manager with (AI and ML),Artech Consulting LLC,Remote,hour,60.0,67.0,132080.0
"Lead Director, Data Science",CVS Health,"New York, NY+6 locations",year,120000.0,265000.0,192500.0
Big Data Engineer,Volto,+3 locationsRemote,hour,50.0,55.0,109200.0
Machine learning Engineer (full time),Infinity Quest,+1 locationRemote,year,85711.0,223487.0,154599.0
Business Analyst |ENTRY LEVEL |,PCS GLOBAL TECH,"Santa Cruz, CA",year,79148.0,84807.0,81977.5
Database Administrator,Alam Research,"Durham, NC",unknown,,,
Senior Machine Learning Engineer,Instacart,"Remote in San Francisco, CA+1 location",unknown,,,
Data Analyst,"Rheumatology Consultants, PC",Remote,year,47540.0,110501.0,79020.5
Business Intelligence ETL Developer,Blue X Technologies,"Grand Rapids, MI",year,80000.0,85000.0,82500.0
Machine Learning Engineer,Hebbia AI,"New York, NY 10012 (SoHo area)",unknown,,,
"Power BI Developer, Senior Business Intelligence Analyst",Array Behavioral Care,"Remote in Mount Laurel, NJ 08054",unknown,,,
Machine Learning Engineer,MindCrux Inc,Remote,unknown,,,
Senior Business Intelligence Developer,YinzCam,"Pittsburgh, PA 15232 (Shadyside area)",unknown,,,
"Engineer, Machine Learning",Allen Institute,"Hybrid remote in Seattle, WA 98109+1 location",unknown,,,
Sr. Azure/Artificial Intelligence/Machine Learning Consultant,"Rich & Assoc., Inc.",Remote,hour,100.0,110.0,218400.0
SQL Database Administrator,Triumph Bancorp,Remote,unknown,,,
"AI/ML - Search Analytics Data Science Manager, AI/ML Data",Apple,"Seattle, WA",unknown,,,
Business Analyst,PerfectVision,"Little Rock, AR 72223",unknown,,,
Machine Learning Engineer,Packback Inc,+1 locationRemote,year,85000.0,130000.0,107500.0
"Database Administrator -LOS ANGELES, CALIFORNIA BASED",Mathnasium Learning Centers,"Hybrid remote in Los Angeles, CA 90056",unknown,,,
Python Data Engineer,GenSpark,"Providence, NC 27315+7 locations",hour,35.0,40.0,78000.0
GIS Administrator - Remote,AMERICAN CANCER SOCIETY,"Remote in Atlanta, GA",unknown,,,
Product Manager - Data Science and MLOps,Dassault Systèmes,"San Diego, CA",unknown,,,
Data Scientist,Vetro Tech Inc,"Remote in New York, NY",year,89000.0,99000.0,94000.0
Business Analyst,Hitachi Vantara Corporation,"Dallas, TX 75254 (Far North area)",unknown,,,
Business Analyst,Experient Group,"Atlanta, GA 30341",unknown,,,
Senior Machine Learning Engineer,Cash App,"Remote in San Francisco, CA 94103+3 locations",unknown,,,
Data Engineer I,Burlington Stores,"Remote in Edgewater Park, NJ 08010",unknown,,,
"Business Analyst, Junior",Booz Allen Hamilton,"Bethesda, MD+14 locations",unknown,,,
Database Administrator,Los Angeles Community College District,"Los Angeles, CA 90017 (Downtown area)",year,126612.0,156849.0,141730.5
Business Intelligence Developer,Ropes & Gray,"New York, NY 10036 (Midtown area)+1 location",year,85000.0,127000.0,106000.0
Database Admin (6pm - 2am EDT),EXL Services,+1 locationRemote,unknown,,,
Data Engineer,"AIM Technical Group, LLC",Remote,hour,60.0,85.0,150800.0
Product Manager with (AI and ML),Artech Consulting LLC,Remote,hour,60.0,67.0,132080.0
Business Analyst,nLeague Services Inc.,"Remote in Salem, OR 97302+5 locations",hour,65.0,70.0,140400.0
Business Analyst,Buzzclan LLC,"West Des Moines, IA 50265+1 location",unknown,,,
"Director, Data Science",DICK'S Sporting Goods,"Remote in Coraopolis, PA 15108",unknown,,,
Director of Data Science & Analytics (Virtual/Remote),CODING DOJO INC,Remote,unknown,,,
Data Science Manager,WhatsApp,"Menlo Park, CA",unknown,,,
IAM Business Analyst,Raymond James Bank,Remote,hour,65.0,70.0,140400.0
Business Intelligence Developer,Definitive Logic,"Hybrid remote in Washington, DC 20319+1 location",unknown,,,
Data Engineer,Tata Technologies,+1 locationRemote,hour,50.0,60.0,114400.0
Database Administrator/Developer,Strategic Employment,Remote,year,150000.0,175000.0,162500.0
Duck Creek Software Engineer,Robert Half,"Woodbridge, NJ 07095+1 location",unknown,,,
"Sr. Product Manager, Data Science",Boston Scientific Corporation,"Hybrid remote in Arden Hills, MN 55112",unknown,,,
Data Science Manager,Takeda Pharmaceutical,"Social Circle, GA",unknown,,,
Business Analyst,Loop Bell Technologies Inc,"Piscataway, NJ",hour,60.0,65.0,130000.0
Senior Database Engineer,Cambium Learning Group,Remote,unknown,,,
IT Business Analyst,Suncaptech,"Remote in Salem, OR",hour,50.0,65.0,119600.0
100% Remote! Product Manager- Data Science/Optimization),Marin Software,"Remote in Chicago, IL",year,100000.0,190000.0,145000.0
Business Analyst,Kaygen Inc.,Remote,hour,60.0,65.0,130000.0
Business Intelligence Developer,Scarpello Group,"Hybrid remote in Omaha, NE 68131",year,80000.0,100000.0,90000.0
Data Engineer,Astratrek,Remote,hour,65.0,65.0,135200.0
ETL Developer,Kaygen Inc.,Remote,hour,55.0,60.0,119600.0
Data Engineer,Cognowiz solutions LLC,"Herndon, VA 20170",year,80000.0,80000.0,80000.0
Data Engineer,Bayer,"Remote in St. Louis, MO 63146+3 locations",unknown,,,
MySQL DBA Database Administrator,"SunPlus Data Group, Inc.","Clemson, SC+3 locations",hour,67.0,67.0,139360.0
Business Intelligence Developer III - Remote,Valleywise Health System,"Remote in Phoenix, AZ 85008",hour,36.0,55.0,94640.0
Business Intelligence Developer,Williams-Sonoma-Supply Chain,"Olive Branch, MS 38654+1 location",unknown,,,
"Manager, Decision Science - Marketing Analytics","The Travelers Companies, Inc.","Remote in Hartford, CT",year,100400.0,165700.0,133050.0
Cloud Database Administrator/Engineer (Remote),ESI,"Remote in West Palm Beach, FL",unknown,,,
Data Engineer,Clairvoyant,+1 locationRemote,hour,75.0,85.0,166400.0
Business Analyst ( Remote),Silverxis,+2 locationsRemote,hour,35.0,35.0,72800.0
Data Center Engineer,Servsys,+1 locationRemote,hour,57.0,62.0,123760.0
"Business and Marketing Data Science Manager, gTech",Google,"New York, NY (Chelsea area)",unknown,,,
Business Data Analyst,EPSOFT Technologies,"Denver, CO 80206 (Cherry Creek area)",hour,55.0,60.0,119600.0
"Data Science Manager, Operational Intelligence",Lucid Motors,"Newark, CA 94560+2 locations",unknown,,,
Data Engineer,GenSpark,"Atlanta, GA+2 locations",year,75000.0,90000.0,82500.0
Director of Data Engineering- Remote,Paramount,"Remote in New York, NY 10036",year,140000.0,200000.0,170000.0
Data Scientist (Level I - II),"BEN Group, Inc","Provo, UT 84606 (East Bay area)",unknown,,,
Business Analyst x 3,Zettalogix Inc,Remote,hour,45.0,50.0,98800.0
Data Science Manager,Vacasa,"Remote in Boise, ID 83702",unknown,,,
Data Scientist,Hewlett Packard Enterprise,"San Jose, CA 95131 (North Valley area)",unknown,,,
Director of Data Science,LoanSnap,"San Francisco, CA 94107 (Financial District/South Beach area)",unknown,,,
"Manager, Data Science & Analytics, Central Analytics",Chartboost,"Remote in Seattle, WA",unknown,,,
Azure Cloud Data Engineer (HYBRID),BravoTech,"McKinney, TX 75069",unknown,,,
Big Data Engineer - PySpark,Logic20/20 Inc.,"San Francisco, CA",year,160000.0,160000.0,160000.0
Business Analyst,i3 Verticals,"Remote in Sulphur Springs, TX+1 location",unknown,,,
Data Scientist,VNS Health,"Manhattan, NY",year,90700.0,113400.0,102050.0
Data Engineer with Alteryx,Enterprise Minds,Remote,unknown,,,
"Sr. Director of Data, Travel",TripActions,"Remote in Palo Alto, CA",unknown,,,
Data Scientist I,Safety National,"St. Louis, MO",unknown,,,
"Director, Data Engineering",Zayo Group,"Denver, CO 80202 (Union Station area)",year,127500.0,187000.0,157250.0
Director of Engineering – AI/ML Technology Foundation,Nike,"Beaverton, OR",unknown,,,
Front End Engineer,Braintrust,"Remote in San Francisco, CA 94133+1 location",hour,35.0,55.0,93600.0
Data Engineer (Research),Jellyfish,"Remote in Boston, MA",unknown,,,
Head of Data for Digital Product-Executive Director,"JPMorgan Chase Bank, N.A.","New York, NY",year,175750.0,235000.0,205375.0
Senior Product Data Scientist,Cash App,"Remote in San Francisco, CA 94103",unknown,,,
Data Engineering Manager,"AGENCYKPI, INC.",Remote,unknown,,,
Azure Data Engineer,iQuasar LLC,+1 locationRemote,hour,55.0,90.0,150800.0
Data Migration Engineer,MetroSys,Remote,hour,50.0,70.0,124800.0
Jr. Database Administrator,"Rudram Engineering, Inc.",Remote,year,65000.0,90000.0,77500.0
Data Analytics Manager (Remote),Home Depot / THD,"Remote in Atlanta, GA 30301+1 location",year,210000.0,210000.0,210000.0
SQL Database Administrator,Dine Development Corporation,+3 locationsRemote,unknown,,,
Business Intelligence Developer,Johns Hopkins Hospital,"Remote in Baltimore, MD 21201",unknown,,,
"Manager, Sport Science Data",Blue Crow Sports Group,"Houston, TX",unknown,,,
Data Engineer,Radiant.digital,"Washington, DC",hour,70.0,75.0,150800.0
Full Stack Machine Learning Engineer,Schrödinger,"New York, NY",unknown,,,
IT Business Intelligence Developer (FT) Remote Position,Ballad Health,"Remote in Blountville, TN",unknown,,,
"Senior Manager, Web Analytics and Data Science",Atlassian,"San Francisco, CA",unknown,,,
"Director, Data Science",Gilead Sciences,"Foster City, CA",unknown,,,
Frontend Developer,Capgemini,"Malvern, PA+6 locations",unknown,,,
"Director, Data Science – Head of Impact Evaluation",MSD,"Rahway, NJ",unknown,,,
Business Analyst,RPO International,"Houston, TX 77075 (South Belt - Ellington area)+2 locations",hour,50.0,60.0,114400.0
Data Analytics Manager,TAA Solutions LLC,"Remote in Washington, DC",year,180944.0,220823.0,200883.5
"Director, Data Science: Apollo Team (Remote-Eligible)",Capital One,"Remote in New York, NY 10011",unknown,,,
SQL Server Database Administrator II - (Remote from anywhere in CO),State of Colorado Job Opportunities,Remote in Colorado+1 location,year,76400.0,92000.0,84200.0
Machine Learning Engineer (MSA),ProtonMail,Remote,unknown,,,
"Manager, Data Science",Disney Music Group,"Burbank, CA",unknown,,,
Business Analyst II - Hybrid,Charter Manufacturing,"Hybrid remote in Mequon, WI 53092",year,72000.0,108000.0,90000.0
Software Engineer,Ezoic,"Carlsbad, CA 92009 (Bressi Ranch area)+1 location",unknown,,,
Sr. Oracle Database Administrator,Labcorp,"Durham, NC 27703",unknown,,,
"Director, Data Scientist",Prudential,"Newark, NJ 07102 (Central Business District area)",year,163600.0,221400.0,192500.0
Research Software Development Engineer/Senior Research Software Development Engineer - Remote,University of Illinois,"Remote in Chicago, IL 60607+1 location",unknown,,,
Machine Learning Engineer (Associate),PubMatic,+4 locationsHybrid remote,unknown,,,
Data Engineer,MeridianLink,+1 locationRemote,year,94000.0,111200.0,102600.0
Database Administrator,designDATA,"Washington, DC",unknown,,,
"Director, Data Science, Remote U.S.",Cricket Health,Remote in Oregon,unknown,,,
Director of Data Science,King.com,"San Francisco, CA",unknown,,,
Business Intelligence Developer - Tableau,Tista Science and Technology Corporation,+1 locationRemote,unknown,,,
Campus Graduate - 2023 Decision Science Manager Full Time,Amex,"New York, NY",year,80000.0,155000.0,117500.0
Business Analyst,TekWisen Software Pvt. Ltd,"Troy, MI 48083",hour,25.0,30.0,57200.0
Agile Project Manager - Enterprise Data & Analytics,redhat,Remote,unknown,,,
Machine Learning Engineer,Formic,"Remote in Chicago, IL",unknown,,,
Data Engineer,Gratiture Solutions,+1 locationRemote,year,120000.0,130000.0,125000.0
Business Analyst,Comtech,Remote,hour,65.0,65.0,135200.0
"Head of Carbon Data, Analytics, and Tools",Google,"Hybrid remote in Atlanta, GA",unknown,,,
Data Scientist,Hertz,"Estero, FL 33928",unknown,,,
Machine Learning / AI Engineer,Amex,"Phoenix, AZ+2 locations",year,85000.0,150000.0,117500.0
Machine Learning Engineer,Saks,"New York, NY 10001 (Garment District area)",year,123000.0,160000.0,141500.0
Data Engineer,Clairvoyant,+1 locationRemote,year,125000.0,130000.0,127500.0
Senior CRM Business Analyst,RelMap Consulting,Remote,hour,75.0,85.0,166400.0
Snowflake Data Engineer,iAppsData,+3 locationsRemote,year,84189.0,190785.0,137487.0
Software Engineer,Ezoic,"Carlsbad, CA 92009 (Bressi Ranch area)+1 location",unknown,,,
"Data Science Manager, Product",Notion,"New York, NY+1 location",unknown,,,
Data Scientist,Aptiv,"Hybrid remote in Troy, MI 48098",unknown,,,
"Tableau/SQL Developer, Business Intelligence",LogixHealth,"Bedford, MA 01730",unknown,,,
Database Administrator,Intrado,Remote,year,95000.0,120000.0,107500.0
Data Engineer- Remote EST Hours preferred,Calance US,"Remote in Roanoke, VA+1 location",unknown,,,
"Associate Director, Data Science",Chewy,"Minneapolis, MN",unknown,,,
Business Analyst,Codeignitors inc,Remote,hour,40.0,70.0,114400.0
Business Intelligence Dashboard Developer,Leidos,"Washington, DC 20090 (South West area)",year,94250.0,195750.0,145000.0
"Data Scientist, Systematic Global Macro",Millennium Management LLC,"New York, NY",year,150000.0,200000.0,175000.0
Machine Learning Engineer,Crafty Apes Llc,Remote in California,unknown,,,
GCP Data Engineer,EPSOFT Technologies,Remote,hour,50.0,60.0,114400.0
Data Scientist or Statistician,UT Southwestern Medical Center,Remote,year,67000.0,120000.0,93500.0
"Director, Data Engineering",Visa,"Hybrid remote in Palo Alto, CA",unknown,,,
Agile Business Analyst,"KeHE Distributors, LLC","Hybrid remote in Naperville, IL 60563",year,71968.0,84742.0,78355.0
Database Administrator,Schneider Electric,"Remote in Fort Collins, CO",unknown,,,
Data Engineer- Remote EST Hours preferred,Calance US,"Remote in Roanoke, VA+1 location",unknown,,,
Data Engineer,"Sandhills Global, Inc.","Scottsdale, AZ 85260 (North Scottsdale area)",unknown,1450.0,2500.0,1975.0
Data Science and Machine Learning Manager,Libertas Funding,"Remote in Greenwich, CT 06830",unknown,,,
"Director, Data Science, Measurement Products",Amazon.com Services LLC,"New York, NY",unknown,,,
Product Manager with (AI and ML),Artech Consulting LLC,Remote,hour,60.0,67.0,132080.0
Research Engineer in Reinforcement Learning,InstaDeep,"Hybrid remote in Boston, MA+2 locations",unknown,,,
Data Scientist,Macquarie Group Limited,"Philadelphia, NY",year,108000.0,192500.0,150250.0
"Director, Data Science",Intercontinental Exchange,"New York, NY 10022 (Turtle Bay area)",year,212000.0,265000.0,238500.0
DATABASE ADMINISTRATOR,Books-A-Million,"Birmingham, AL",unknown,,,
Assistant Director of Analytics and Data Science,University of North Carolina at Chapel Hill,North Carolina,unknown,,,
"Director, Data Science",Sysco,"Houston, TX",unknown,,,
Data Engineer,"THE TIRE RACK, INC","South Bend, IN 46628",unknown,,,
Sr. Business Analyst,PTYTECH LLC,"Hybrid remote in Salem, OR 97301+1 location",hour,50.0,50.0,104000.0
Business Analyst,zettalogix.Inc,Remote,hour,40.0,50.0,93600.0
Business Analyst,PSRTEK,Remote,hour,70.0,75.0,150800.0
Business Analyst,seven hills group technologies,+1 locationRemote,hour,27.0,56.0,86320.0
Entry Level Business Analyst,Data Cloud Merge,"Boston, MA+10 locations",unknown,,,
Director of Data Science Solutions,Data Society,"Washington, DC 20005 (Logan Circle area)",year,150000.0,170000.0,160000.0
Senior Machine Learning Engineer,KUNGFU.AI,+1 locationRemote,unknown,,,
Business Intelligence Developer,Casa Systems Inc,"Andover, MA 01810",unknown,,,
Director – Business Intelligence & Data Science,ABBVIE,"Lake County, IL",unknown,,,
Machine Learning Engineer,Axiado,"San Jose, CA",unknown,,,
Sr. Product Manager - Data Science and Machine Learning - Remote,Clari,"Remote in Seattle, WA+5 locations",unknown,,,
"Director, Data Science Program",University of Colorado,"Denver, CO 80217 (Central Business District area)",unknown,,,
"Director, Public Health Data Modernization and Informatics",ASTHO,Remote,year,90000.0,90000.0,90000.0
Business Analyst (Full Time) United States,Cisco Systems,"San Jose, CA",unknown,,,
Database Administrator,PROLIM GLOBAL CORPORATION,+1 locationRemote,hour,32.0,41.0,75920.0
Actuarial Data Scientist,Ledger Investing,"Remote in New York, NY",unknown,,,
Manager of Data Science,The Trade Desk,"Seattle, WA",year,154300.0,308600.0,231450.0
Senior Machine Learning Engineer,Twitch,"Remote in San Francisco, CA 94104+2 locations",year,167100.0,226100.0,196600.0
Software Engineer,Brooksource,Remote,unknown,,,
"Sales Engineer, Machine Learning, Google Cloud",Google,"San Francisco, CA+6 locations",unknown,,,
Business Intelligence Developer (Remote),Analytica,Remote,unknown,,,
Data Engineer,Rangam Consultants Inc.,Remote,hour,60.0,70.0,135200.0
Remote Training and Placement in Jr Business Analyst precision technologies,Precision Technologies Corp,"Remote in New York, NY 10001",hour,38.0,45.0,86320.0
Machine Learning Research Engineer,Netradyne,"San Diego, CA 92122 (University City area)",unknown,,,
Business Intelligence - Senior Power BI Developer,Data2Logistics,Remote,year,85960.0,120237.0,103098.5
Data Scientist,Roche,"Indianapolis, IN 46216",unknown,,,
IT Database Administrator / Senior Administrator,Auburn University,"Hybrid remote in Auburn, AL",year,55300.0,107800.0,81550.0
Data Scientist Co-Op (Spring 2023),The Hershey Company,Remote,unknown,,,
ITS Business Intelligence Developer,Southern Illinois Health,"Remote in Carbondale, IL 62901",unknown,,,
Data Scientist II,Christus Health,"Irving, TX 75038 (Cottonwood area)",unknown,,,
Senior Business Intelligence Developer,YinzCam,"Pittsburgh, PA 15232 (Shadyside area)",unknown,,,
"Director of Data Science, Measurement",Newfish Inc,"Remote in New York, NY",unknown,,,
Business Analyst,Super Bright LEDs,"Earth City, MO 63045",year,65000.0,80000.0,72500.0
Head of Data Science Analytics & Strategy,Barclays,"Whippany, NJ",unknown,,,
Data Scientist,Phasorsoft LLC,Remote,year,77761.0,192284.0,135022.5
Sales Database Administrator,Orion Advisor Solutions,"Omaha, NE",unknown,,,
Business Intelligence Developer- Cell Manufacturing Facilities,Tesla,"Fremont, CA+1 location",unknown,,,
Business Intelligence Developer - Remote AZ,Blue Cross Blue Shield of Arizona,"Remote in Phoenix, AZ",unknown,,,
Data Science Manager,Penn Interactive,"Remote in Philadelphia, PA",unknown,,,
Database Specialist,Penn State University,"Remote in University Park, PA",unknown,,,
"Sr Manager, Decision Science",The Walt Disney Company (Corporate),"Hybrid remote in Lake Buena Vista, FL",unknown,,,
Machine Learning Engineer - Remote,UnitedHealth Group,"Remote in Schaumburg, IL 60168",year,66100.0,118300.0,92200.0
"Manager, Data Science & Analytics - Full Time Days",The University of Chicago Medicine,"Chicago, IL 60637 (Hyde Park area)",unknown,,,
Power BI Developer,Phasorsoft LLC,Remote,year,66822.0,134197.0,100509.5
Machine Learning Engineer,Silent Falcon UAS Technologies,Remote,unknown,,,
Data Science Manager,Yale University,"New Haven, CT 06510 (Hill area)+1 location",unknown,,,
Lead manager data science – People Analytics,Starbucks,"Hybrid remote in Seattle, WA",unknown,,,
Senior ORACLE Database Administrator,KBR,"Remote in Houston, TX",unknown,,,
Data Test Engineer,1 Point Systems,Remote,hour,54.0,54.0,112320.0
Data Scientists,Ars Quanta,"Seattle, WA",unknown,,,
Business Systems Analyst,Vimerse IT,Remote,hour,65.0,65.0,135200.0
Data Engineer,EAB,Remote,unknown,,,
SQL Database Administrator,Integral,"Remote in Vienna, VA 22182",unknown,,,
Data Engineer,Unfold Bio,"Remote in Sacramento, CA",year,115293.0,173939.0,144616.0
Business Intelligence Developer,Enertia Software,"Houston, TX 77002 (Downtown area)",year,106560.0,112596.0,109578.0
Database Administrator 3,Comcast,"Denver, CO",year,89471.0,134206.0,111838.5
Database Administrator,Upson Regional Medical Center,"Thomaston, GA 30286",unknown,,,
Database Administrator,Los Angeles Community College District,"Los Angeles, CA 90017 (Downtown area)",year,126612.0,156849.0,141730.5
AWS data engineer,Compunnel Inc.,Remote,hour,70.0,70.0,145600.0
Entry Level NLP/Data Science Engineer - 333321,I28 Technologies,"Lorain, OH 44052+9 locations",year,60000.0,65000.0,62500.0
Senior Data Science Manager,Elutions,"Tampa, FL 33602 (Downtown area)",unknown,,,
Lead Business Analyst,Reignite Software Solutions Inc,Remote,hour,65.0,65.0,135200.0
Senior Data Scientist - Financial Markets,MTG Services,"Remote in New York, NY",year,110000.0,130000.0,120000.0
Product Manager with (AI and ML),Artech Consulting LLC,Remote,hour,60.0,67.0,132080.0
"Senior Software Engineer - Machine Learning, Homefeed & Notifications",Discord,"Hybrid remote in San Francisco, CA 94107+1 location",year,186000.0,186000.0,186000.0
Business Intelligence Developer,PolyCon Solutions,"Washington, DC 20024 (Southwest Federal Center area)",year,94250.0,145000.0,119625.0
"Data Scientist, Customer Analytics",Spring Health,"New York, NY 10001 (Garment District area)",unknown,,,
CDnA - Data Science Manager (Omnichannel Orchestration),Amgen,"Thousand Oaks, CA 91360+1 location",unknown,,,
Database Architect,OneView Commerce Inc.,"Hybrid remote in Austin, TX 78702",hour,110.0,140.0,260000.0
IT Analyst Programmer - Business Intelligence Developer - Remote,Mayo Clinic,"Remote in Rochester, MN",year,71240.0,121264.0,96252.0
Database Administrator,Simmons Bank,"Little Rock, AR",unknown,,,
Business Analyst,Changeis,"Remote in Cambridge, MA",unknown,,,
Salesforce Business Analyst - Múltiples Países,Freeway Consulting,Remote,unknown,,,
Database Administrator (Remote friendly),Imagine Communications,"Remote in Denver, CO 80202",year,95000.0,110000.0,102500.0
Business Intelligence Developer,Apptad Inc,Remote,unknown,,,
"Data Scientist, Baseball Research & Development",Cleveland Guardians - Baseball Operations,"Remote in Cleveland, OH",unknown,,,
Data Scientist,The Josef Group Inc.,"Herndon, VA",year,150000.0,230000.0,190000.0
